                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.94912,                0.59964,                  1.073,                0.99739,                   0.95,                0.98479,                0.75793,                0.92397,                0.48282,                 1.0534,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.0061,                0.61048,                 1.1197,                0.96888,                   0.95,                0.97912,                0.70866,                 1.0582,                0.51804,                 1.1997,               0.001109,               0.001109,               0.001109
                     47,                0.95313,                0.58505,                 1.0831,                0.97342,                   0.95,                0.96702,                 0.7318,                  0.965,                0.49509,                 1.0617,              0.0010892,              0.0010892,              0.0010892
                     48,                0.98515,                0.60887,                 1.1103,                0.98871,                   0.95,                0.97733,                0.74773,                0.93147,                0.50354,                 1.0465,              0.0010694,              0.0010694,              0.0010694
                     49,                0.97808,                0.60886,                 1.0877,                0.99613,                   0.95,                0.98076,                0.72798,                0.96173,                0.49069,                 1.0848,              0.0010496,              0.0010496,              0.0010496
                     50,                0.93831,                0.58155,                 1.0696,                0.97848,                  0.975,                0.99239,                0.76034,                0.89711,                0.47811,                  1.022,              0.0010298,              0.0010298,              0.0010298
                     51,                0.94735,                 0.5779,                 1.0966,                0.99627,                   0.95,                0.97564,                0.75539,                0.89786,                0.46506,                 1.0115,                0.00101,                0.00101,                0.00101
                     52,                0.91988,                0.59512,                 1.0641,                0.99678,                   0.95,                0.97811,                0.75387,                0.91153,                0.46324,                 1.0372,              0.0009902,              0.0009902,              0.0009902
                     53,                0.91517,                0.57766,                 1.0673,                0.99992,                  0.975,                0.99202,                0.76543,                0.93436,                0.42903,                 1.0287,              0.0009704,              0.0009704,              0.0009704
                     54,                0.89286,                0.56327,                 1.0667,                 0.9739,                      1,                0.99451,                0.74239,                0.93087,                 0.4395,                 1.0291,              0.0009506,              0.0009506,              0.0009506
                     55,                 0.9548,                0.55683,                  1.087,                0.99683,                      1,                  0.995,                0.75923,                0.89758,                0.42307,                 1.0248,              0.0009308,              0.0009308,              0.0009308
                     56,                 0.8992,                0.55149,                 1.0693,                0.99798,                   0.95,                0.97597,                0.75594,                 0.9301,                0.45286,                 1.0231,               0.000911,               0.000911,               0.000911
                     57,                 0.9265,                0.53232,                 1.0817,                0.99535,                   0.95,                0.94921,                0.72972,                0.93551,                0.50463,                 1.0419,              0.0008912,              0.0008912,              0.0008912
                     58,                0.91961,                0.56213,                 1.0652,                0.99615,                   0.95,                0.97692,                 0.7106,                 1.0115,                0.46093,                 1.0708,              0.0008714,              0.0008714,              0.0008714
                     59,                0.89257,                0.53401,                 1.0487,                      1,                0.97331,                 0.9936,                 0.7399,                0.94295,                0.42564,                 1.0442,              0.0008516,              0.0008516,              0.0008516
                     60,                0.88631,                 0.5191,                 1.0317,                0.99838,                   0.95,                0.97845,                0.73643,                0.94182,                0.47665,                 1.0528,              0.0008318,              0.0008318,              0.0008318
                     61,                0.86826,                0.52204,                 1.0316,                      1,                0.97382,                0.99318,                0.77951,                0.93602,                0.44121,                 1.0487,               0.000812,               0.000812,               0.000812
                     62,                0.88426,                0.50983,                 1.0361,                0.97364,                  0.975,                 0.9933,                0.78005,                0.93328,                0.43273,                 1.0502,              0.0007922,              0.0007922,              0.0007922
                     63,                0.90332,                 0.5304,                 1.0572,                0.97282,                  0.975,                 0.9933,                0.77563,                0.85779,                0.42118,                 1.0088,              0.0007724,              0.0007724,              0.0007724
                     64,                0.87945,                0.51552,                 1.0455,                      1,                0.97305,                0.99405,                0.76027,                0.95793,                0.42881,                 1.0555,              0.0007526,              0.0007526,              0.0007526
                     65,                0.87942,                0.52556,                 1.0508,                 0.9953,                   0.95,                0.99151,                0.78862,                0.93567,                0.42097,                 1.0482,              0.0007328,              0.0007328,              0.0007328
                     66,                0.83325,                 0.5041,                 1.0346,                 0.9986,                   0.95,                 0.9902,                0.79402,                0.87048,                0.41897,                  1.006,               0.000713,               0.000713,               0.000713
                     67,                0.85319,                0.50765,                 1.0461,                0.99709,                   0.95,                 0.9933,                0.78578,                0.84512,                0.40381,                0.98812,              0.0006932,              0.0006932,              0.0006932
                     68,                0.86615,                0.52069,                 1.0424,                0.96876,                      1,                0.99378,                0.80072,                 0.8716,                0.40539,                 1.0051,              0.0006734,              0.0006734,              0.0006734
                     69,                0.83713,                0.50594,                 1.0271,                0.99183,                   0.95,                0.98888,                0.78464,                0.88968,                0.42938,                 1.0174,              0.0006536,              0.0006536,              0.0006536
                     70,                0.86444,                0.51127,                 1.0406,                0.95222,                0.99651,                 0.9933,                0.78231,                0.90132,                0.41862,                 1.0305,              0.0006338,              0.0006338,              0.0006338
                     71,                0.83144,                0.48591,                  1.036,                0.97484,                      1,                0.99378,                0.77764,                0.88299,                0.40162,                 1.0384,               0.000614,               0.000614,               0.000614
                     72,                0.83219,                0.49069,                 1.0251,                0.97555,                0.99736,                0.99451,                0.78136,                0.89284,                0.41672,                 1.0597,              0.0005942,              0.0005942,              0.0005942
                     73,                0.82522,                0.49106,                 1.0229,                0.98387,                  0.975,                0.99278,                0.76893,                 0.8912,                0.40507,                 1.0492,              0.0005744,              0.0005744,              0.0005744
                     74,                0.81935,                0.48779,                 1.0285,                      1,                0.97478,                0.99405,                0.76473,                0.86701,                 0.3774,                 1.0195,              0.0005546,              0.0005546,              0.0005546
                     75,                0.78637,                0.45739,                 1.0037,                0.97525,                      1,                0.99378,                0.78842,                0.92542,                0.39452,                 1.0488,              0.0005348,              0.0005348,              0.0005348
                     76,                0.80846,                0.47289,                 1.0177,                0.97478,                      1,                0.99451,                0.78675,                 0.9141,                0.39434,                 1.0436,               0.000515,               0.000515,               0.000515
                     77,                0.76302,                 0.4499,                  1.005,                      1,                0.99967,                  0.995,                 0.8089,                0.84047,                0.35781,                0.99881,              0.0004952,              0.0004952,              0.0004952
                     78,                0.79215,                0.46849,                 1.0167,                      1,                 0.9996,                  0.995,                0.80577,                0.83305,                 0.3597,                0.99457,              0.0004754,              0.0004754,              0.0004754
                     79,                0.76513,                0.43741,                0.99542,                      1,                0.99785,                  0.995,                0.76843,                0.89003,                0.37926,                 1.0143,              0.0004556,              0.0004556,              0.0004556
                     80,                0.76917,                0.47248,                 1.0035,                      1,                0.99836,                  0.995,                0.78813,                 0.8698,                0.37297,                 1.0071,              0.0004358,              0.0004358,              0.0004358
                     81,                0.79107,                0.48202,                 1.0112,                0.99879,                      1,                  0.995,                0.80882,                0.82697,                0.35201,                 1.0005,               0.000416,               0.000416,               0.000416
                     82,                0.73504,                 0.4314,                0.97707,                0.99845,                      1,                  0.995,                0.79963,                0.85919,                0.36609,                 1.0036,              0.0003962,              0.0003962,              0.0003962
                     83,                0.75664,                0.43792,                0.98686,                0.99908,                      1,                  0.995,                0.81523,                0.84102,                0.35307,                0.99972,              0.0003764,              0.0003764,              0.0003764
                     84,                0.77774,                0.44657,                 1.0196,                      1,                0.99861,                  0.995,                0.81153,                0.83826,                0.35342,                 1.0123,              0.0003566,              0.0003566,              0.0003566
                     85,                0.76751,                0.45107,                0.99831,                      1,                0.99732,                  0.995,                0.79205,                0.85136,                0.36198,                 1.0035,              0.0003368,              0.0003368,              0.0003368
                     86,                 0.7463,                0.43136,                0.99511,                0.97319,                      1,                0.99451,                0.79695,                0.85757,                0.36777,                 1.0026,               0.000317,               0.000317,               0.000317
                     87,                0.73067,                0.43052,                0.99029,                      1,                0.99793,                  0.995,                0.79653,                0.86633,                0.37389,                 1.0151,              0.0002972,              0.0002972,              0.0002972
                     88,                 0.7621,                  0.458,                 1.0041,                0.99967,                      1,                  0.995,                0.79448,                0.84412,                0.36431,                 1.0083,              0.0002774,              0.0002774,              0.0002774
                     89,                0.71601,                0.40467,                0.97641,                0.99789,                      1,                  0.995,                0.80216,                0.82036,                0.35742,                0.99453,              0.0002576,              0.0002576,              0.0002576
                     90,                0.72692,                0.41292,                0.98251,                      1,                0.97408,                0.99451,                0.80252,                0.81291,                0.35567,                0.98328,              0.0002378,              0.0002378,              0.0002378
                     91,                0.63993,                0.36993,                0.94966,                      1,                0.97228,                0.99405,                0.79556,                0.83387,                0.34676,                 0.9946,               0.000218,               0.000218,               0.000218
                     92,                0.65067,                0.36357,                0.94568,                      1,                0.97305,                0.99451,                0.79474,                 0.8769,                 0.3523,                 1.0092,              0.0001982,              0.0001982,              0.0001982
                     93,                 0.6399,                0.34897,                0.91703,                      1,                0.99802,                  0.995,                0.77673,                0.90152,                0.35275,                 1.0339,              0.0001784,              0.0001784,              0.0001784
                     94,                0.65946,                0.35135,                0.95588,                      1,                0.99721,                  0.995,                0.78544,                0.86578,                0.35981,                  1.014,              0.0001586,              0.0001586,              0.0001586
                     95,                0.62201,                0.34916,                0.94098,                      1,                0.99839,                  0.995,                0.80204,                0.84949,                0.35296,                 1.0028,              0.0001388,              0.0001388,              0.0001388
                     96,                0.62202,                0.33453,                0.92776,                      1,                0.97284,                0.99451,                0.80722,                0.83518,                0.35042,                 0.9954,               0.000119,               0.000119,               0.000119
                     97,                0.62218,                0.35824,                0.92863,                0.95775,                      1,                0.99378,                0.80964,                0.84573,                0.36707,                0.99008,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.58899,                0.32771,                0.91917,                      1,                0.97294,                0.99451,                0.80458,                0.84239,                0.35915,                0.99461,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.61372,                0.33793,                0.92449,                      1,                0.97303,                0.99451,                0.81043,                0.84427,                 0.3559,                 0.9984,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.60973,                0.33206,                0.92649,                      1,                0.97309,                0.99451,                0.81594,                 0.8469,                0.35768,                 1.0008,               3.98e-05,               3.98e-05,               3.98e-05
