                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.84811,                0.50732,                 1.0568,                0.95928,                0.97235,                 0.9827,                0.75458,                0.90792,                0.40331,                  1.085,             0.00079238,             0.00079238,             0.00079238
                     47,                0.84006,                0.51216,                  1.065,                0.94636,                0.96679,                0.98907,                0.74497,                0.90411,                0.42765,                 1.0754,             0.00077823,             0.00077823,             0.00077823
                     48,                0.86266,                0.52021,                 1.0686,                0.93259,                0.98547,                0.98901,                0.74493,                0.90947,                 0.4272,                  1.078,             0.00076409,             0.00076409,             0.00076409
                     49,                0.84015,                0.51485,                 1.0628,                0.95879,                 0.9813,                0.98403,                0.77078,                0.87146,                0.38364,                 1.0579,             0.00074994,             0.00074994,             0.00074994
                     50,                0.83638,                0.50782,                 1.0578,                0.96585,                0.98409,                0.98714,                0.76192,                0.89208,                0.39272,                 1.0626,             0.00073579,             0.00073579,             0.00073579
                     51,                0.82075,                0.48621,                 1.0514,                0.97854,                0.96704,                0.98638,                0.77155,                0.90274,                0.39232,                  1.073,             0.00072164,             0.00072164,             0.00072164
                     52,                0.82751,                0.48313,                 1.0488,                0.93846,                0.98256,                 0.9849,                0.76176,                0.90847,                0.42489,                 1.0746,              0.0007075,              0.0007075,              0.0007075
                     53,                0.82156,                 0.4855,                 1.0532,                0.94009,                0.98118,                0.99121,                0.76799,                0.87832,                0.39906,                 1.0553,             0.00069335,             0.00069335,             0.00069335
                     54,                0.80139,                0.47598,                 1.0396,                0.98936,                0.95647,                0.99083,                0.77397,                0.90286,                0.39948,                 1.0619,              0.0006792,              0.0006792,              0.0006792
                     55,                0.82432,                 0.4859,                 1.0505,                 0.9685,                0.95736,                0.98514,                0.77363,                0.89034,                0.37952,                 1.0564,             0.00066506,             0.00066506,             0.00066506
                     56,                0.83222,                0.48458,                 1.0584,                0.96102,                0.97303,                0.97933,                0.75451,                0.89783,                0.37268,                 1.0869,             0.00065091,             0.00065091,             0.00065091
                     57,                0.81134,                0.47455,                 1.0426,                0.96431,                 0.9815,                0.98956,                0.77698,                0.85949,                0.37481,                 1.0414,             0.00063676,             0.00063676,             0.00063676
                     58,                0.79405,                0.46623,                 1.0418,                0.96432,                0.97799,                0.98514,                0.77569,                0.87262,                0.38665,                 1.0663,             0.00062262,             0.00062262,             0.00062262
                     59,                0.79786,                 0.4637,                 1.0389,                0.97044,                 0.9749,                0.99136,                0.76779,                0.88279,                0.39618,                 1.0625,             0.00060847,             0.00060847,             0.00060847
                     60,                0.79969,                0.46532,                 1.0329,                0.96975,                0.97163,                0.99018,                0.77642,                0.86874,                0.39612,                 1.0621,             0.00059432,             0.00059432,             0.00059432
                     61,                 0.8088,                0.46552,                 1.0392,                0.96055,                 0.9529,                0.98855,                0.75197,                0.92076,                0.41078,                 1.0815,             0.00058017,             0.00058017,             0.00058017
                     62,                0.80991,                0.46774,                 1.0273,                0.95565,                  0.987,                0.99352,                0.78286,                0.85409,                0.36716,                 1.0412,             0.00056603,             0.00056603,             0.00056603
                     63,                0.76796,                0.44746,                  1.021,                0.97523,                 0.9786,                0.98879,                0.77411,                0.88084,                0.38343,                 1.0675,             0.00055188,             0.00055188,             0.00055188
