epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,1751.18,0.8232,0.47435,1.05716,0.99542,0.975,0.97694,0.75789,0.88528,0.39073,1.03088,0.0002972,0.0002972,0.0002972
88,1771.23,0.82424,0.47104,1.06077,0.99717,0.975,0.97946,0.76923,0.85761,0.38571,1.01072,0.0002774,0.0002774,0.0002774
89,1791.24,0.77672,0.44708,1.03316,0.99688,0.975,0.9828,0.77812,0.89108,0.4077,1.02712,0.0002576,0.0002576,0.0002576
90,1811.32,0.76706,0.44974,1.01658,0.99681,0.975,0.98243,0.77484,0.89082,0.39817,1.03485,0.0002378,0.0002378,0.0002378
91,1852.91,0.72432,0.37897,1.03753,1,0.97443,0.98108,0.76921,0.87004,0.39006,1.03948,0.000218,0.000218,0.000218
92,1872.88,0.7233,0.3858,1.02016,0.99856,0.975,0.98085,0.76875,0.84878,0.36812,1.03086,0.0001982,0.0001982,0.0001982
93,1892.94,0.72917,0.38663,1.00906,0.99713,0.975,0.98092,0.77089,0.88187,0.37466,1.03501,0.0001784,0.0001784,0.0001784
94,1912.84,0.70323,0.37715,1.00909,0.99762,0.975,0.98124,0.77402,0.88163,0.37863,1.02458,0.0001586,0.0001586,0.0001586
95,1932.85,0.69494,0.37447,1.01424,0.9972,0.975,0.98124,0.76544,0.85606,0.35169,1.01521,0.0001388,0.0001388,0.0001388
96,1952.76,0.70429,0.36078,1.01219,0.99719,0.975,0.9815,0.76765,0.86264,0.35546,1.01563,0.000119,0.000119,0.000119
97,1972.72,0.68092,0.3708,1.00083,0.99739,0.975,0.98199,0.77004,0.87076,0.36863,1.01625,9.92e-05,9.92e-05,9.92e-05
98,1992.69,0.68444,0.36188,0.99208,0.99736,0.975,0.98178,0.77536,0.85087,0.3762,1.01057,7.94e-05,7.94e-05,7.94e-05
99,2012.65,0.69178,0.34365,0.98891,0.9977,0.975,0.98199,0.77681,0.852,0.38314,1.01158,5.96e-05,5.96e-05,5.96e-05
100,2032.52,0.69255,0.36858,1.01077,0.99772,0.975,0.9822,0.77914,0.8614,0.37978,1.01526,3.98e-05,3.98e-05,3.98e-05
